name,date_of_birth,height,weight,spike,block,position_number,country
Angelina Lazarenko,13/04/1998,193,80,320,305,3,23
Svetlana Serbina,15/05/1996,182,71,295,284,1,23
Ekaterina Shkurikhina,17/06/1996,190,72,306,296,2,23
Kristina Kurnosova,17/06/1997,176,62,288,278,6,23
Ekaterina Novikova,07/12/1996,181,70,290,275,1,23
Victoria Zhurbenko,17/03/1996,186,67,306,297,3,23
Angelina Sperskaite,11/02/1997,188,72,305,295,2,23
Anastasiia Barchuk,09/02/1996,187,78,305,297,3,23
Anastasiia Cheremisina,14/01/1996,187,80,305,298,2,23
Anna Lazareva,31/01/1997,190,67,315,300,4,23
Tatiana Iurinskaia,25/01/1996,195,69,305,275,2,23
Sabina Gilfanova,14/02/1996,187,79,300,296,4,23
Drussyla Costa,01/07/1996,182,73,304,286,2,10
Lana Conceição,08/12/1996,175,72,292,281,2,10
Ariane Pinto,27/01/1997,191,79,291,284,4,10
Laiza Ferreira,18/02/1996,181,71,301,285,3,10
Gabriela Candido Da Silva,22/05/1996,181,75,296,285,2,10
Gabriela Silva,05/03/1996,182,75,296,281,3,10
Karoline Tormena,21/03/1996,187,69,295,284,3,10
Lorenne Geraldo Teixeira,08/01/1996,187,72,306,289,4,10
Thais Oliveira,01/04/1996,172,69,275,272,1,10
Lais Vasques,12/02/1996,171,70,275,274,6,10
Lyara Medeiros,19/09/1996,184,67,297,285,1,10
Maiara Basso,03/01/1996,186,80,287,276,3,10
Nanami Hirose,12/05/1997,177,61,301,295,2,16
Misaki Shirai,30/07/1996,175,70,293,278,1,16
Yurika Kono,08/04/1996,177,60,292,282,3,16
Yuka Kitsui,15/01/1997,172,60,294,283,4,16
Haruka Maruo,15/08/1996,176,64,293,283,3,16
Haruka Kanamori,09/04/1996,176,66,297,290,3,16
Moeri Hanai,17/04/1997,167,60,280,272,6,16
Mizuki Yanagita,26/03/1996,168,64,300,290,2,16
Yuka Onodera,22/03/1997,173,70,293,283,1,16
Shino Nakata,15/07/1997,178,66,287,284,2,16
Kaori Mabashi,18/11/1996,173,63,296,286,2,16
Anna Koike,16/12/1996,162,62,263,253,2,9
Slavena Nikova,07/06/1996,180,72,290,280,2,9
Elitsa Barakova,11/03/1997,184,60,290,280,3,9
Polina Neykova,07/10/1998,182,73,287,280,1,9
Simona Nikolova,29/07/1997,190,75,308,300,4,9
Iveta Stanchulova,11/08/1997,186,72,290,285,3,9
Vangeliya Rachkovska,19/07/1997,185,67,296,281,2,9
Gergana Dimitrova,28/02/1996,184,71,305,288,2,9
Miroslava Paskova,16/02/1996,180,67,299,280,2,9
Kristiana Petrova,13/07/1997,177,70,290,282,2,9
Radostina Marinova,02/10/1998,183,62,287,279,3,9
Zhana Todorova,06/01/1997,170,56,271,255,6,9
Mirela Shahpazova,28/10/1997,175,65,280,270,1,9
