name,date_of_birth,height,weight,spike,block,position_number,country
Tanya Acosta,11/03/1991,182,70,287,280,2,2
Paula Yamila Nizetich,27/01/1989,181,74,305,295,2,2
Lucia Fresco,14/05/1991,195,92,304,290,4,2
Clarisa Sagardia,29/06/1989,174,67,290,280,1,2
Emilce Sosa,11/09/1987,177,72,305,295,3,2
Julieta Constanza Lazcano,25/06/1989,190,74,312,293,3,2
Tatiana Soledad Rizzo,30/12/1986,178,64,280,268,6,2
Leticia Boscacci,08/11/1985,186,70,302,284,4,2
Josefina Fernandez,17/08/1991,175,72,294,284,2,2
Florencia Natasha Busquets Reyes,27/06/1989,192,68,305,290,3,2
Yael Castiglione,27/09/1985,184,75,295,281,1,2
Morena Martinez Franchi,19/02/1993,164,62,285,264,6,2
Fabiana Claudino,24/01/1985,193,76,314,293,3,10
Juciely Cristina Barreto,18/12/1980,184,71,312,289,3,10
Danielle Lins,05/01/1985,183,71,290,276,1,10
Adenizia Da Silva,18/12/1986,185,63,312,290,3,10
Thaisa Daher Pallesi,15/05/1987,196,79,316,301,3,10
Jaqueline Pereira De Carvalho Endres,31/12/1983,186,71,302,286,2,10
Gabriela Braga Guimaraes,19/05/1994,176,59,295,274,2,10
Natalia Pereira,04/04/1989,183,76,300,288,2,10
Sheilla Castro De Paula Blassioli,01/07/1983,185,65,302,284,4,10
Fernanda Rodrigues,01/07/1983,181,75,308,288,2,10
Josefa Fabiola Almeida De Sousa Alves,03/02/1983,184,70,300,285,1,10
Leia Henrique Da Silva Nicolosi,01/03/1985,168,60,0,0,6,10
Xinyue Yuan,21/12/1996,201,78,317,311,3,5
Ting Zhu,29/11/1994,198,75,327,300,2,5
Fangxu Yang,06/10/1994,190,71,308,300,4,5
Xiangyu Gong,21/04/1997,186,72,313,302,4,5
Qiuyue Wei,26/09/1988,182,65,305,300,1,5
Changning Zhang,06/11/1995,193,80,315,303,2,5
Xiaotong Liu,16/02/1990,188,80,312,300,2,5
Yunli Xu,02/08/1987,195,75,325,306,3,5
Ruoqi Hui,04/03/1991,192,78,315,305,2,5
Li Lin,05/07/1992,171,65,294,294,6,5
Xia Ding,13/01/1990,180,67,305,300,1,5
Ni Yan,02/03/1987,192,74,317,306,3,5
Stephanie Fotso Mogoung,25/09/1987,,184,301,275,3,4
Christelle Tchoudjang Nana,07/07/1989,,184,308,285,4,4
Raissa Nasser,19/08/1994,,173,284,270,6,4
